back	dos
good	bon
I	je
language	langue
all	tout
whole	entier
every	chaque
part	partie
piece	morceau
at	à
to	à
leave	partir
water	eau
complete	complet
act	agir
add	ajouter
air	air
old	vieux
help	aider
hand	main
like	comme
love	aimer
so	donc
look	regarder
area	région
food	nourriture
go	aller
light	lumière
then	alors
fine	amende
bring	apporter
friend	ami
year	année
animal	animal
again	encore
about	environ
appear	apparaître
call	appeler
name	nom
learn	apprendre
press	presse
after	après
tree	arbre
are	are
money	argent
stop	arrêter
come	venir
happen	arriver
reach	atteindre
enough	assez
wait	attendre
land	terre
no	non
above	au-dessus
before	avant
also	aussi
too	aussi
car	voiture
fall	tomber
other	autre
with	avec
plane	avion
have	avoir
need	besoin
boat	bateau
low	bas
base	base
ship	bateau
build	construire
many	beaucoup
much	beaucoup
beauty	beauté
rock	rocher
well	puits
soon	bientôt
white	blanc
blue	bleu
wood	bois
box	boîte
can	pouvoir
side	côté
move	bouger
end	fin
short	court
sound	son
body	corps
country	pays
able	capable
for	pour
map	carte
cause	cause
that	que
this	ce
hundred	cent
center	centre
certain	certain
sure	sûr
heat	chaleur
room	chambre
field	champ
change	changer
song	chanson
sing	chanter
each	chaque
eye	œil
hot	chaud
warm	chaud
head	tête
road	route
way	manière
check	vérifier
horse	cheval
dog	chien
figure	chiffre
numeral	numéral
object	objet
thing	chose
five	cinq
city	ville
clear	clair
class	classe
order	ordre
as	comme
start	commencer
begin	commencer
how	comment
common	commun
full	plein
drive	conduire
lead	plomb
know	savoir
keep	garder
story	histoire
contain	contenir
force	force
against	contre
correct	correct
right	droit
color	couleur
cut	couper
run	courir
course	cours
cover	couvrir
cry	pleurer
think	penser
grow	grandir
cross	croix
farm	ferme
in	dans
from	de
of	de
early	tôt
decide	décider
state	état
out	dehors
ask	demander
live	vivre
stay	rester
half	moitié
pass	passer
since	depuis
last	dernier
behind	derrière
want	vouloir
draw	dessiner
under	sous
two	deux
second	seconde
front	devant
develop	développer
must	devoir
differ	différer
hard	dur
say	dire
tell	raconter
direct	diriger
talk	parler
record	enregistrer
ten	dix
home	maison
give	donner
down	en bas
school	école
hear	entendre
listen	écouter
write	écrire
she	elle
they	ils
use	usage
still	encore
place	lieu
up	en haut
wind	vent
teach	enseigner
set	ensemble
together	ensemble
between	entre
spell	épeler
test	test
feel	sentir
space	espace
kind	gentil
mind	esprit
try	essayer
east	est
and	et
star	étoile
be	être
stand	être debout
study	étudier
them	eux
example	exemple
plant	planter
make	faire
face	visage
do	faire
fact	fait
family	famille
tire	pneu
close	fermer
fire	feu
girl	fille
river	rivière
time	temps
dark	sombre
work	travail
found	fonder
power	puissance
form	forme
shape	forme
strong	fort
cold	froid
boy	garçon
left	gauche
people	gens
game	jeu
govern	gouverner
rule	règle
big	grand
great	grand
large	grand
free	libre
group	groupe
war	guerre
usual	habituel
high	haut
hour	heure
man	homme
here	ici
idea	idée
thought	pensée
he	il
it	il
island	île
picture	image
show	montrer
interest	intérêt
question	question
ever	jamais
never	jamais
play	jouer
young	jeune
fast	rapide
day	jour
until	jusqu’à
just	juste
there	là
let	laisser
the	le
slow	lent
which	quel
letter	lettre
their	leur
line	ligne
read	lire
list	liste
book	livre
pound	piler
far	loin
distant	lointain
long	long
when	quand
him	lui
moon	lune
my	mon
machine	machine
miss	rater
now	maintenant
but	mais
house	maison
eat	manger
step	pas
walk	marcher
mark	marque
morning	matin
me	me
mean	signifier
better	meilleur
even	même
same	même
self	même
sea	mer
mother	mère
wonder	merveille
measure	mesurer
lay	pondre
put	mettre
south	sud
mile	mille
thousand	mille
minute	minute
less	moins
world	monde
mountain	montagne
watch	montre
point	point
word	mot
fly	voler
multiply	multiplier
music	musique
snow	neige
new	nouveau
black	noir
noun	nom
number	nombre
north	nord
note	note
our	notre
us	nous
we	nous
night	nuit
get	obtenir
west	ouest
ocean	océan
bird	oiseau
gold	or
or	ou
where	où
yes	oui
open	ouvrir
page	page
paper	papier
by	par
through	par
seem	sembler
among	parmi
foot	pied
fish	poisson
paint	peinture
during	pendant
father	père
person	personne
little	petit
small	petit
few	peu
sentence	phrase
plain	plaine
plan	plan
rain	pluie
more	plus
several	plusieurs
port	port
door	porte
carry	porter
own	posséder
possible	possible
inch	pouce
why	pourquoi
